platform,placement,status,scheduled_for,campaign_name,deleted_at,body
facebook,feed,scheduled,2026-02-09T07:00:00+00:00,Private Hire Promotion,,"Planning a big celebration in 2026? Book early with us and enjoy 4 free bottles of prosecco to kick off your party in style 🥂. Whether it’s a milestone birthday, family gathering, or corporate event, we’ve got flexible spaces for 10–200 guests, free parking, and step-free access. Secure your date with a deposit by 28 February and let us help make it unforgettable. DM us to check your date or call 01753 682707 for a quick quote. T&Cs: New 2026 bookings only. Min 30 guests. Deposit must be paid by 28 Feb 2026 to qualify. Subject to availability. No cash alternative. #theanchor #PartyWithUs #CelebrateTogether
Learn more: https://vip-club.uk/4zdglj."
instagram,feed,scheduled,2026-02-09T07:00:00+00:00,Private Hire Promotion,,"Planning a big celebration in 2026? Book your party with us before 28 February and we’ll treat you to 4 FREE bottles of prosecco to get the festivities flowing 🥂 With flexible spaces for 30 to 200 guests, free parking, and expert event support, we is your ideal choice. DM us to check your date or call 01753 682707 for a quick quote. T&Cs apply. Details in bio. #theanchor #PrivateHire #Party2026 #ProseccoOnUs…
See the link in our bio for details."
instagram,story,scheduled,2026-02-10T07:00:00+00:00,Music Bingo,,
facebook,story,scheduled,2026-02-10T07:00:00+00:00,Music Bingo,,
facebook,story,scheduled,2026-02-11T07:00:00+00:00,Music Bingo,,
instagram,story,scheduled,2026-02-11T07:00:00+00:00,Music Bingo,,
facebook,feed,scheduled,2026-02-11T07:00:00+00:00,Music Bingo,,"It’s Music Bingo night undefined — happening tonight from 7pm! Join us for two rounds of sing-along fun with songs from the ’50s to today, plenty of prizes to win, and a family-friendly atmosphere. Whether you’re here to compete or just enjoy the tunes, there’s something for everyone. Fancy dinner? Our stone-baked pizzas and full menu are served until 9pm. Spots are filling fast, so don’t miss out — book now or just pop in if there’s room. Let’s make tonight one to remember! #theanchor #MusicBingo #FamilyFun
Book now: https://vip-club.uk/fb8fbe16."
instagram,feed,scheduled,2026-02-11T07:00:00+00:00,Music Bingo,,"Music Bingo is happening tonight at 7pm! 🎶 Join us for two rounds of fun with tunes from the ’50s to today. Mark off your cards as you listen, and you could win chocolate, food vouchers, or even a bottle of Prosecco! Perfect for all ages and families. Fancy some stone-baked pizza or a pint while you play? Our kitchen’s open till 9pm. Book now to secure your spot — details in…
See the link in our bio for details."
facebook,feed,scheduled,2026-02-11T07:00:00+00:00,Toby Urguhart Valentines Day,,"Only 3 days to go until our Toby Urquhart Valentines Day party this Saturday, 14 February! Join us undefined from 6pm for dinner or just grab a drink and enjoy live acoustic classics from 8pm. Whether you’re with your loved one, mates, or family, it’s a night for everyone—free entry, no tickets needed. Stick around after the music for party tunes until midnight, and don’t miss our prosecco bottles at £19.99. Tables book up to 8:30pm, so if you want to dine, it’s best to reserve. Find out more and make the most of this brilliant start to our 2026 live music nights. #theanchor
Find out more: https://vip-club.uk/fbd21c5e."
instagram,feed,scheduled,2026-02-11T07:00:00+00:00,Toby Urguhart Valentines Day,,"Just 3 days to go until Toby Urquhart’s Valentine’s Party Night this Saturday, 14 February! Live music from 8pm, full menu from 6pm, then a pizza-only Late Menu from 9pm.
Free entry, party tunes till midnight, and Prosecco bottles for £19.99 on the night. Couples, mates, families—everyone’s welcome for a proper Saturday night out. Find out more.
Find out more via the link in our bio.
#theanchor #LiveAtTheAnchor #ValentinesDay #StanwellMoor #SurreyEvents #LiveMusic #PartyNight #Prosecco #PizzaNight #SatNightVibes."
facebook,feed,scheduled,2026-02-12T07:00:00+00:00,Cash Bingo,,"Ready for a midweek treat? Our Cash Bingo Night is back next Wednesday, 18 February at 7pm! Ten lively games, spot prizes, and the chance to win the Game 10 Cash Jackpot — everyone’s in with a shot. Plus, eligible players can play for the Snowball. Bring a mate, grab a seat early (£10 per bingo book, cash only on the night), and let’s make it a night full of laughs and cheers. Our kitchen’s open from 4pm for dinner beforehand. Spaces fill fast, so book now to avoid missing out. See you undefined for bingo and banter! #theanchor #CashBingo #BingoNight
Book now: https://vip-club.uk/fb01cb76."
instagram,feed,scheduled,2026-02-12T07:00:00+00:00,Cash Bingo,,"Next Wednesday, 18 February at 7pm, join us for Cash Bingo Night undefined! Ten games, spot prizes, and the chance to win the Game 10 Cash Jackpot. Bring a mate, book your seat early — £10 per book, cash only. The Snowball’s in play for eligible players, too. Doors open early if you fancy a meal before the fun starts. Book now — a full house makes for the best night…
See the link in our bio for details."
instagram,feed,scheduled,2026-02-12T07:00:00+00:00,Toby Urguhart Valentines Day,,"Just 2 days to go until our Toby Urquhart Valentine’s Party Night this Saturday, 14 February! Join us undefined from 6pm for dinner or just drop by for live music from 8pm and party tunes until midnight. Free entry, Prosecco bottles £19.99, and a warm, lively atmosphere for everyone — couples, mates, families, all welcome! Find out more.
Find out more via the link in our bio.
#theanchor #liveattheanchor #ValentinesDay #LiveMusic #SurreyNights #StanwellMoor #SaturdayVibes."
facebook,feed,scheduled,2026-02-12T07:00:00+00:00,Toby Urguhart Valentines Day,,"Just 2 days to go until our first Live undefined night of 2026! Join us this Saturday, 14 February, for Toby Urquhart’s Valentine’s Party Night — a proper Saturday celebration for couples, mates, families, and anyone up for a brilliant night out. Come for the full menu from 6pm, enjoy soulful classics live from 8pm–10pm, then dance along to party tunes until midnight. Prosecco bottles are just £19.99 on the night, and there’s no entry fee. Book your table from 6pm to dine, or just drop in — we’d love to see you. Find out more.
#theanchor #LiveMusic #ValentinesDay
Find out more: https://vip-club.uk/fbd21c5e."
facebook,feed,scheduled,2026-02-13T07:00:00+00:00,Sunday Lunch Last Call,,"It’s Week 5 of our Sunday Lunch last call! Don’t forget to place your orders by 1pm on Saturday to enjoy our hearty Sunday roast—triple herb crusted roast potatoes, fluffy Yorkshire puddings, fresh vegetables, and our signature gravy. Perfect for a cosy gathering with family and friends. If you’re popping in on the day, our regular menu’s packed with classic pub favourites to satisfy any appetite. Remember, no deposit needed for groups under six, and a £5 deposit per head applies for larger parties. Treat yourself this Sunday—pre-order online and let us take care of the rest. We look forward to welcoming you! #theanchor #SundayLunch #ClassicPubFood
Learn more: https://www.the-anchor.pub/."
instagram,feed,scheduled,2026-02-13T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call — Week 5 is here! Our Sunday Lunch is a beloved classic undefined, featuring triple herb crusted roast potatoes, fluffy Yorkshire puddings, fresh vegetables, and our signature gravy — all cooked fresh to order. Remember, orders must be in by 1pm on Saturday to enjoy the full Sunday roast experience. No deposit needed for under six; £5 per head for bigger groups. Fancy something else? Our regular…
See the link in our bio for details."
facebook,story,scheduled,2026-02-13T07:00:00+00:00,Toby Urguhart Story,,
instagram,story,scheduled,2026-02-13T07:00:00+00:00,Toby Urguhart Story,,
facebook,story,scheduled,2026-02-14T07:00:00+00:00,Toby Urguhart Story,,
instagram,story,scheduled,2026-02-14T07:00:00+00:00,Toby Urguhart Story,,
facebook,feed,scheduled,2026-02-14T07:00:00+00:00,Toby Urguhart Valentines Day,,"Today’s the day! Join us undefined from 8pm for Toby Urquhart’s Valentine’s Party Night – the first Live undefined evening of 2026. Whether you’re here with your loved one, friends, or family, expect soulful tunes, great food, and plenty of fun. Our kitchen opens at 6pm with the full menu until 9pm, then we switch to a speedy pizza-only Late Menu until 10:30pm. Prosecco bottles are just £19.99 all night. Free entry, no tickets needed. Come as you are – or dress up and make a night of it. Walk-ins welcome, but why not book your table earlier? Find out more. #theanchor #LiveAtTheAnchor #ValentinesDay
Find out more: https://vip-club.uk/fbd21c5e."
instagram,feed,scheduled,2026-02-14T07:00:00+00:00,Toby Urguhart Valentines Day,,"Today’s the day! Join us undefined from 8pm for Toby Urquhart’s Valentine’s Party Night 🎶 Whether you’re coming with your other half, mates, family, or flying solo, it’s a brilliant Saturday night out with live music, food, drinks, and party vibes until midnight. Full kitchen open 6–9pm, then pizza from 9–10:30pm. Prosecco bottles just £19.99 on the night. Free entry, no tickets needed. Find out more.
Find out more via the link in our bio.
#theanchor #ValentinesDay #LiveMusic #StanwellMoor #SurreyNights #PartyNight #PizzaLovers #Prosecco #SaturdayNight."
instagram,feed,scheduled,2026-02-15T07:00:00+00:00,Cash Bingo,,"This Wednesday (18 February), join us for Cash Bingo Night undefined! Ten lively games, loads of laughs, and plenty of chances to win cash and spot prizes. £10 per book (cash only), seats are limited and going fast. Bring a mate and double your chances! Eyes down at 7pm — don’t miss out on the Snowball and the Game 10 jackpot. Book now. Details in bio. #theanchor #cashbingo #bingonight #midweekfun #jackpot…
See the link in our bio for details."
facebook,feed,scheduled,2026-02-15T07:00:00+00:00,Cash Bingo,,"Eyes down this Wednesday, 18 February, for a cracking night of Cash Bingo undefined! From 7pm till 9:30pm, enjoy ten games packed with laughs, spot prizes, and two jackpots to chase – including the Game 10 Cash Jackpot, open to all, plus the exclusive Snowball for qualifying players. Seats are limited and going fast, so book now to guarantee your place. Come early for a bite from the kitchen (open until 9pm) and settle in for a lively night of fun with friends. Don’t forget your cash for bingo books and dabbers, and bring a mate to double your chances when the jackpot hits! #theanchor #BingoNight #CashJackpot
Book now: https://vip-club.uk/fb01cb76."
facebook,feed,scheduled,2026-02-16T07:00:00+00:00,Private Hire Promotion,,"Planning a big celebration in 2026? Book your party with us by 28 February and we’ll kick things off with 4 bottles of prosecco on the house 🥂. Whether it’s a milestone birthday, a family gathering, or a work party, our flexible spaces accommodate 30 to 200 guests with plenty of free parking and step-free access. Secure your preferred date with a deposit by the deadline to enjoy this sparkling offer. Dates are filling fast — don’t miss out! DM us to check your date or call 01753 682707 for a quick quote. T&Cs: New 2026 bookings only. Min 30 guests. Deposit must be paid by 28 Feb 2026 to qualify. Subject to availability. No cash alternative. #theanchor #PrivateHire #ProseccoCelebration
Learn more: https://vip-club.uk/4zdglj."
instagram,feed,scheduled,2026-02-16T07:00:00+00:00,Private Hire Promotion,,"Planning a big celebration in 2026? Book your party with us by 28 Feb and we’ll kick things off with 4 free bottles of prosecco 🥂 Perfect for milestone birthdays, family gatherings, or work events. Minimum 30 guests. Deposit must be paid by 28 Feb to qualify. Dates are filling fast — DM us to check yours! T&Cs apply. Details in bio.
See the link in our bio for details.
#theanchor #privatehire #partytime #celebrate #prosecco #milestoneparty #familygathering #corporateevents #StanwellMoor."
instagram,feed,scheduled,2026-02-17T07:00:00+00:00,Cash Bingo,,"Eyes down tomorrow at 7pm for our midweek Cash Bingo Night! Ten games, spot prizes, and a chance at the Game 10 jackpot — all in a lively, full room. Limited seats left, so don’t miss out! £10 per bingo book (cash only). Bring a mate to double the fun and your odds. Book now and get ready for a brilliant night undefined. Details in bio to book. #theanchor #CashBingo #BingoNight…
See the link in our bio for details."
facebook,feed,scheduled,2026-02-17T07:00:00+00:00,Cash Bingo,,"Tomorrow’s the night for Cash Bingo undefined! Join us Wednesday 18 February from 7pm for ten lively games, spot prizes, and plenty of laughs. Seats are limited and going fast—book early to avoid missing out. Bring a mate to double your cheers, enjoy the Cash Snowball (for eligible players), and go all in for the Game 10 Cash Jackpot, open to everyone. Arrive early for dinner and drinks—our kitchen is open until 9pm. Don’t forget your cash for bingo books and dabbers, and keep mobiles on silent so every call is clear. Let’s make it a night to remember! Book now to secure your spot. #theanchor #CashBingo #BingoNight
Book now: https://vip-club.uk/fb01cb76."
facebook,story,scheduled,2026-02-17T07:00:00+00:00,Cash Bingo Story,,
instagram,story,scheduled,2026-02-17T07:00:00+00:00,Cash Bingo Story,,
instagram,feed,scheduled,2026-02-18T07:00:00+00:00,Cash Bingo,,"Tonight’s the night! Join us from 7pm for Cash Bingo undefined — ten games, spot prizes, and jackpots up for grabs. £10 per book (cash only), so book your seat now before we sell out. Bring a mate and double your cheering chances! Dinner’s served until 9pm if you want to fuel up beforehand. Book now — details in bio. #theanchor #CashBingo #BingoNight #MidweekFun #Jackpot #BingoJackpot #Snowball #PubNight #CommunityFun #BookNow.
Book now via the link in our bio."
facebook,feed,scheduled,2026-02-18T07:00:00+00:00,Cash Bingo,,"Eyes down tonight at 7pm for our Cash Bingo Night! Ten games packed with prizes, laughs, and the chance to bag the Game 10 Cash Jackpot or the elusive Snowball. Bring a mate, grab some dinner from 4pm to 9pm, and settle in for a proper night of fun undefined. £10 per bingo book—cash only, so don’t miss your spot! Book now before we sell out. Let’s make tonight loud and lively! #theanchor #bingo #cashbingo
Book now: https://vip-club.uk/fb01cb76."
facebook,story,scheduled,2026-02-18T07:00:00+00:00,Cash Bingo Story,,
instagram,story,scheduled,2026-02-18T07:00:00+00:00,Cash Bingo Story,,
facebook,feed,scheduled,2026-02-20T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call — Week 6 is here! Our fresh, made-to-order Sunday lunches are still the ultimate treat, featuring triple herb-crusted roasties, fluffy Yorkshire puddings, fresh veggies, and our signature gravy. Don’t forget, all lunch orders must be in by 1pm this Saturday to secure your spot. If you’re popping in on Sunday without a pre-order, our regular menu of hearty pub classics is ready and waiting. For tables over six, a £5 per head deposit is required; under six, there’s no deposit needed. Fancy a truly memorable Sunday? Pre-order your lunch on our website today and let us do the rest! #theanchor #SundayLunch #PubClassics
Learn more: https://www.the-anchor.pub/."
instagram,feed,scheduled,2026-02-20T07:00:00+00:00,Sunday Lunch Last Call,,"Sunday Lunch Last Call — Week 6 is here! Our fresh, flavour-packed Sunday roasts are served with triple herb crusted roasties, fluffy Yorkshire puddings, crisp veg and our signature gravy. Remember, all Sunday lunch orders need to be in by 1pm Saturday to avoid disappointment. Fancy the regular menu? We’ve got you covered there, too! Pop on over to the link in our bio to pre-order or book your table. #theanchor #SundayRoast #FamilyLunch #PubClassics #RoastDinner #YorkshirePudding #SundayFunday #FreshFood #GoodCompany #LinkInBio."
facebook,feed,scheduled,2026-02-23T07:00:00+00:00,Private Hire Promotion,,"Planning a big celebration for 2026? Book your party with us by 28 February and we’ll kick things off with 4 bottles of prosecco – on the house 🥂. Whether it's a milestone birthday, family gathering, or corporate event, we have the perfect space and support to make your day unforgettable. Remember, dates are filling fast! Minimum 30 guests and deposit paid by 28 Feb required. DM us to check your date or call 01753 682707 for a quick quote. T&Cs apply. #theanchor #PrivateHire #PartyTime
Learn more: https://vip-club.uk/4zdglj."
instagram,feed,scheduled,2026-02-23T07:00:00+00:00,Private Hire Promotion,,"Planning a big 2026 celebration? Book your party with us by 28 Feb and we’ll kick things off with 4 FREE bottles of prosecco 🥂 Whether it’s a milestone birthday, family gathering, or work event, we’ve got the perfect space for 30+ guests. Deposit must be paid by 28 Feb to secure your date and the bubbles. DM us to check your date. Details in bio. #theanchor #PrivateHire #PartyBooking #ProseccoOnUs #MilestoneCelebrations #FamilyGatherings…
See the link in our bio for details."
